Distance,MeanAtten
0.5,40.5
1,31.5
1,61.5
1.5,58.5
1.5,61.5
1.5,70.5
2,55.5
3,61.5
5,15
5,43.5
0.5,31.5
0.5,37.5
0.5,40.5
1,15
1,43.5
1.5,61.5
2,52.5
2,70.5
2,73.5
3,40.5
3,55.5
3,64.5
5,15
5,46.5
5,58.5
5,70.5
5,73.5
2,73.5
2,76.5
2,82.5
2,64.5
2,67.5
2,79.5
0.5,79.5
1,52.5
1.5,70.5
1.5,73.5
2,79.5
1,73.5
1,85.5
1.5,73.5
1.5,76.5
1,40.5
3,61.5
3,67.5
0.5,58.5
1,43.5
1,46.5
1.5,40.5
1.5,46.5
0.5,37.5
0.5,40.5
5,82.5
2,58.5
1,43.5
0.5,58.5
1,52.5
1.5,43.5
2,15
2,43.5
0.5,52.5
1,37.5
1,43.5
1.5,15
1.5,43.5
2,76.5
0.5,46.5
0.5,61.5
1,49.5
1.5,52.5
1.5,76.5
2,49.5
0.5,55.5
0.5,58.5
1,46.5
1,58.5
1,61.5
1.5,46.5
2,43.5
2,73.5
2,79.5
0.5,31.5
0.5,34.5
1,49.5
1,52.5
1.5,55.5
1.5,58.5
2,52.5
2,58.5
1,46.5
1,76.5
1,79.5
1.5,52.5
1.5,76.5
1.5,79.5
2,88.5
1.5,55.5
1.5,76.5
0.5,34.5
1,46.5
2,70.5
3,55.5
5,73.5
1.5,67.5
2,85.5
0.5,67.5
1,79.5
2,79.5
2,73.5
2,85.5
0.5,70.5
2,76.5
1.5,43.5
0.5,37.5
1,43.5
5,79.5
2,55.5
2,58.5
0.5,55.5
1,43.5
3,61.5
5,70.5
2,55.5
2,55.5
0.5,52.5
1,46.5
0.5,55.5
1,58.5
1.5,76.5
2,79.5
0.5,46.5
1,49.5
1.5,61.5
2,61.5
0.5,67.5
1,85.5
1.5,76.5
2,79.5
1,64.5
1.5,85.5
2,88.5
1.5,70.5
0.5,67.5
2,76.5
0.5,64.5
1,64.5
1.5,82.5
2,76.5
0.5,34.5
1,46.5
2,70.5
3,55.5
5,73.5
1.5,67.5
2,85.5
0.5,67.5
1,79.5
2,79.5
2,73.5
2,85.5
0.5,70.5
2,76.5
1.5,43.5
0.5,37.5
1,43.5
5,79.5
2,55.5
2,58.5
0.5,55.5
1,43.5
3,61.5
5,70.5
2,55.5
2,55.5
0.5,52.5
1,46.5
0.5,55.5
1,58.5
1.5,76.5
2,79.5
0.5,46.5
1,49.5
1.5,61.5
2,61.5
0.5,67.5
1,85.5
1.5,76.5
2,79.5
1,64.5
1.5,85.5
2,88.5
1.5,70.5
0.5,67.5
2,76.5
0.5,64.5
1,64.5
1.5,82.5
2,76.5
2,76.5
2,79.5
2,55.5
2,58.5
2,76.5
2,79.5
2,55.5
2,58.5
2,76.5
2,79.5
2,55.5
2,58.5
