discount,asymp
1,0
0.99996,0
0.988118,0
0.899577,0
0.717612,0
0.510268,0
0.335471,0.015264216
0.21171,0.037920162
0.130222,0.063406595
0.079165,0.090418743
0.047696,0.121617135
0.028962,0.151787622
0.017727,0.185244216
0.010941,0.224526568
0.006721,0.272146662
0.004203,0.322337811
0.002577,0.374582648
0.001599,0.427744243
0.001007,0.469897135
0.000643,0.519112338
0.000412,0.56491927
0.000272,0.598152189
0.000179,0.629308257
0.000117,0.654177487
0.000077,0.686697649
0.000052,0.717241676
0.000035,0.751258378
0.000024,0.783385797
0.000016,0.810511392
