yx,yy,yz,yaw,pitch
0.140428,0.158734,-0.866788,41.4983842,76.26038633
-0.184122,0.159586,-0.973033,-49.08320006,75.9416749
-0.182394,0.239825,-0.959428,-37.25406154,72.56538591
0.0541389,0.32068,-0.945703,9.582618269,71.02241357
0.195473,0.272188,-0.941407,35.68418248,70.40615768
-0.262176,0.214285,-0.941601,-50.73974998,70.2210534
0.248403,0.225135,-0.92761,47.81305159,70.12972616
-0.233259,0.255731,-0.947553,-42.36876932,69.93318005
0.319712,0.100738,-0.889923,72.51089047,69.36011559
-0.0609071,0.360396,-0.931706,-9.592376893,68.58002047
-0.050529,0.364588,-0.930565,-7.890476541,68.41937422
-0.0526835,0.366729,-0.929651,-8.175056953,68.27123164
-0.048197,0.368465,-0.929111,-7.452254194,68.20074727
-0.0484144,0.3686,-0.929067,-7.482777888,68.19119366
-0.0375256,0.370026,-0.928587,-5.790762725,68.17257758
-0.0491905,0.372157,-0.927629,-7.529523278,67.96775548
-0.0133918,0.37439,-0.924765,-2.048576694,67.94675091
0.076429,0.370426,-0.928391,11.6580893,67.8339109
-0.0410197,0.377686,-0.925609,-6.198481236,67.68478965
-0.0752388,0.374173,-0.914339,-11.36943327,67.34341106
0.0936752,0.377259,-0.924239,13.94478972,67.18942434
0.0936752,0.377259,-0.924239,13.94478972,67.18942434
-0.0950131,0.336486,-0.831066,-15.76801652,67.18270948
-0.0950131,0.336486,-0.831066,-15.76801652,67.18270948
-0.0578568,0.386553,-0.921418,-8.512477943,67.01369512
0.279543,0.266534,-0.909996,46.36467905,67.00139146
0.387937,0.055449,-0.921048,81.86563821,66.95162804
0.387937,0.055449,-0.921048,81.86563821,66.95162804
0.11197,0.378469,-0.923745,16.48084389,66.86463208
-0.0624402,0.393164,-0.918477,-9.024043956,66.56686247
-0.0792095,0.392233,-0.911221,-11.41704737,66.29193407
-0.109708,0.385005,-0.911471,-15.90501591,66.28825122
-0.083851,0.397156,-0.917606,-11.92169917,66.13737147
0.232723,0.347544,-0.912139,33.80712251,65.36591156
0.197476,0.369468,-0.911837,28.12394335,65.32422157
0.197476,0.369468,-0.911837,28.12394335,65.32422157
0.164021,0.389242,-0.909637,22.84986034,65.09226488
0.108657,0.409512,-0.90975,14.86004693,65.02801414
-0.069318,0.417189,-0.907288,-9.433790718,65.00865207
0.207473,0.371217,-0.909189,29.20080341,64.93277445
0.153929,0.399322,-0.908845,21.08044803,64.7848868
0.202465,0.380961,-0.906119,27.98879482,64.54000911
0.202465,0.380961,-0.906119,27.98879482,64.54000911
0.2267,0.368808,-0.906109,31.57833458,64.46294665
-0.0149161,0.431133,-0.902241,-1.981497192,64.44601028
-0.0149161,0.431133,-0.902241,-1.981497192,64.44601028
-0.0149161,0.431133,-0.902241,-1.981497192,64.44601028
0.200563,0.385002,-0.90481,27.51681666,64.36919297
0.200563,0.385002,-0.90481,27.51681666,64.36919297
0.211687,0.380545,-0.904397,29.08601662,64.28952504
0.211687,0.380545,-0.904397,29.08601662,64.28952504
-0.0618951,0.41955,-0.880175,-8.392160721,64.2740325
0.220806,0.378273,-0.903576,30.27301879,64.13854412
0.224077,0.379004,-0.902579,30.59268117,63.99631013
0.217263,0.38436,-0.904529,29.47770149,63.98224147
0.34876,0.272083,-0.903289,52.04064198,63.90915474
0.213337,0.387092,-0.901459,28.86036257,63.88117995
-0.0175663,0.447701,-0.894117,-2.246943458,63.38437349
0.221374,0.393873,-0.896977,29.33790737,63.26489749
0.175444,0.41986,-0.894331,22.67824995,63.0326944
0.444219,0.0946095,-0.891226,77.97682192,62.99592325
0.0415186,0.453297,-0.890961,5.233261325,62.93738607
0.401498,0.208119,-0.862914,62.59975206,62.34205027
-0.269266,0.347383,-0.827717,-37.78023601,62.03149551
0.192465,0.429845,-0.8865,24.12065996,62.01984844
0.192465,0.429845,-0.8865,24.12065996,62.01984844
0.266634,0.392187,-0.890102,34.21039114,61.95158719
0.270584,0.389616,-0.890135,34.779551,61.94654971
0.272778,0.388733,-0.889885,35.0577394,61.91321004
0.258901,0.385188,-0.869583,33.90670194,61.91038542
0.274031,0.388329,-0.889889,35.20936065,61.89374187
0.2715,0.390344,-0.889561,34.82017109,61.87504161
0.211358,0.424807,-0.884661,26.45213084,61.79341278
0.139951,0.455125,-0.88246,17.09267014,61.64965014
0.139951,0.455125,-0.88246,17.09267014,61.64965014
0.264363,0.399802,-0.887497,33.47406537,61.62832434
0.247149,0.411831,-0.886542,30.96891204,61.55262281
0.0258828,0.476373,-0.879171,3.109996775,61.51385717
0.262033,0.403557,-0.886428,32.99600733,61.50630805
0.246777,0.41543,-0.884892,30.71149235,61.36308272
0.209504,0.434053,-0.880776,25.76517089,61.31211171
-0.186403,0.443844,-0.878625,-22.78114598,61.28172116
0.401799,0.244098,-0.855472,58.72078732,61.20850752
0.262496,0.409729,-0.883395,32.64596467,61.15260646
0.0691462,0.477567,-0.875432,8.238517225,61.13600916
-0.20932,0.438584,-0.880874,-25.51342548,61.11468422
0.183902,0.394099,-0.786027,25.01559615,61.04499169
0.0785033,0.476151,-0.871929,9.362167247,61.03716461
0.236457,0.425984,-0.879022,29.03396404,61.00195139
-0.191049,0.407479,-0.810076,-25.11981695,60.94534462
-0.191049,0.407479,-0.810076,-25.11981695,60.94534462
0.240758,0.425226,-0.878711,29.51803296,60.92148354
0.414563,0.256036,-0.869725,58.30033288,60.74072002
0.227658,0.436841,-0.879208,27.52609886,60.7389197
0.253791,0.423485,-0.879701,30.93390252,60.69778727
0.256415,0.428058,-0.876901,30.92242215,60.35890974
0.0382442,0.494196,-0.868235,4.425112083,60.27804236
0.245124,0.435812,-0.875708,29.35573114,60.27419524
0.242992,0.437061,-0.872283,29.07266584,60.17496668
-0.139107,0.46926,-0.852825,-16.51188144,60.14808087
0.255091,0.432666,-0.875064,30.52272945,60.14518991
-0.0884389,0.487938,-0.862809,-10.27334627,60.11243571
0.246595,0.439744,-0.873684,29.28237661,60.01255218
-0.00732726,0.499801,-0.866092,-0.839916288,60.00911735
-0.00784989,0.497598,-0.859533,-0.90379837,59.92964257
0.361386,0.337924,-0.8518,46.92156489,59.84998711
0.317807,0.395913,-0.872112,38.75468446,59.79470207
0.0950219,0.493648,-0.862801,10.89555449,59.77282502
-0.0156918,0.506195,-0.862361,-1.775572822,59.57559072
-0.448274,0.0693167,-0.772258,-81.20995884,59.57128039
-0.448274,0.0693167,-0.772258,-81.20995884,59.57128039
-0.448274,0.0693167,-0.772258,-81.20995884,59.57128039
0.265406,0.43101,-0.861057,31.62380175,59.55088254
-0.0227278,0.505855,-0.860531,-2.572539247,59.52601643
-0.222818,0.451831,-0.85307,-26.24996012,59.435811
0.431358,0.24559,-0.838443,60.34534604,59.37382228
0.142356,0.487239,-0.855851,16.28671199,59.32762494
0.430445,0.248624,-0.837868,59.98937277,59.32029338
0.20461,0.472502,-0.861965,23.41431015,59.14769566
-0.320739,0.400941,-0.857866,-38.65860576,59.09881112
0.347267,0.385861,-0.866185,41.98656439,59.0651139
0.438924,0.242043,-0.835737,61.12562528,59.04656042
-0.0353766,0.515746,-0.856414,-3.923946884,58.88352543
-0.0405657,0.516394,-0.855925,-4.491686693,58.81869917
-0.0234399,0.518958,-0.854553,-2.586134481,58.70437059
0.194152,0.485628,-0.855523,21.79131921,58.5616134
0.0303858,0.521641,-0.852988,3.333735244,58.509107
0.00462896,0.52571,-0.850468,0.504485396,58.27705388
0.184533,0.496384,-0.853082,20.39284529,58.16888522
-0.0577263,0.524992,-0.850034,-6.274837758,58.14585525
-0.0506177,0.526177,-0.848646,-5.494887839,58.08197617
-0.0448811,0.527861,-0.848805,-4.859854697,58.03043259
-0.0356687,0.532387,-0.846086,-3.832956824,57.76259452
-0.265839,0.46731,-0.850988,-29.63428254,57.71633418
-0.254353,0.46759,-0.841202,-28.54468165,57.67532507
0.0250141,0.53237,-0.839336,2.690138538,57.58547544
0.0250141,0.53237,-0.839336,2.690138538,57.58547544
0.046516,0.535693,-0.844313,4.96273451,57.50858933
-0.0328057,0.537254,-0.843042,-3.494245318,57.44310422
-0.0328057,0.537254,-0.843042,-3.494245318,57.44310422
-0.0328057,0.537254,-0.843042,-3.494245318,57.44310422
-0.185622,0.50592,-0.8437,-20.14808238,57.43235741
0.191844,0.508093,-0.844835,20.6853603,57.26494671
0.17782,0.513975,-0.843788,19.08409186,57.19607727
0.0407993,0.54107,-0.840849,4.312218848,57.16554896
-0.479963,0.0536143,-0.745988,-83.62619419,57.08121951
-0.479963,0.0536143,-0.745988,-83.62619419,57.08121951
-0.479963,0.0536143,-0.745988,-83.62619419,57.08121951
0.208921,0.505566,-0.844592,22.45245926,57.06931731
0.167029,0.524254,-0.848857,17.67204519,57.04917348
0.487202,0.204092,-0.81449,67.27088171,57.03530165
0.171339,0.519488,-0.841625,18.25373503,56.97813178
0.103882,0.53455,-0.836235,10.99752179,56.92810415
-0.142316,0.508941,-0.809521,-15.62267281,56.86303881
0.167794,0.525096,-0.837055,17.72123816,56.63256679
0.0980927,0.510895,-0.787624,10.86861836,56.55518209
0.0729992,0.520363,-0.795542,7.985633428,56.55509196
0.502202,0.196488,-0.815553,68.631933,56.52593208
0.0657852,0.548135,-0.831162,6.843700814,56.40737385
0.157027,0.534674,-0.834905,16.36684737,56.27895613
-0.0485105,0.555896,-0.830367,-4.987306217,56.09880388
-0.130801,0.512082,-0.783639,-14.32867137,56.00240623
0.188195,0.529447,-0.832142,19.5680509,55.9709998
0.49422,0.226358,-0.803729,65.39171811,55.92808047
